loci,grch38_gene_name
chr1:90460399-90461237,NA
chr1:1564421-1570006,SSU72
chr1:228225442-228225753,OBSCN
chr1:228161368-228161576,NA
chr1:240656253-240656720,NA
chr1:93913636-93914524,NA
chr1:1098043-1100584,C1orf159
chr1:32800859-32802229,YARS
chr1:11708767-11709277,DRAXIN
chr1:144931339-144932626,SRGAP2B
chr1:208041862-208042718,PLXNA2
chr1:182808312-182809122,NPL
chr1:1141670-1142150,LINC01342
chr1:1242400-1245185,FAM132A
chr1:34090605-34090854,CSMD2
chr1:3310102-3311035,PRDM16
chr1:8390202-8390800,RERE
chr1:6525996-6526228,NOL9
chr1:91185156-91185577,NA
chr1:1446878-1448205,NA
chr1:156469617-156471060,MEF2D
chr1:66998728-66999060,NA
chr1:222817467-222817671,DISP1
chr1:155920651-155920898,KIAA0907
chr1:43738484-43738829,ST3GAL3
chr1:226186803-226187336,NA
chr1:2259064-2259326,SKI
chr1:203455815-203456041,NA
chr1:167905027-167906801,ADCY10
chr1:43232214-43233359,CFAP57
chr1:33592891-33593155,CSMD2
chr1:113256885-113258149,NA
chr1:36173406-36173979,MAP7D1
chr1:2253723-2254758,SKI
chr1:55246742-55247519,NA
chr1:204380313-204381159,NA
chr1:47973709-47973952,TRABD2B
chr1:148864531-148865184,PDE4DIP
chr1:203830507-203830901,ZC3H11A
chr1:38273374-38274402,NA
chr1:201083458-201084567,CACNA1S
chr1:236227682-236228817,ERO1B
chr1:150121695-150123078,VPS45
chr1:2005179-2005565,NA
chr1:63782394-63790471,ROR1
chr1:211306667-211307675,RCOR3
chr1:202830061-202830923,NA
chr1:35497121-35497587,KIAA0319L
chr1:205781870-205783010,NA
chr1:39269729-39270251,MACF1
chr1:185703458-185703662,NA
chr1:33429531-33430513,NA
chr1:159869901-159870143,NA
chr1:175161900-175162364,KIAA0040
chr1:51701767-51702542,OSBPL9
chr1:161283775-161284007,PCP4L1
chr1:25071352-25072586,NA
chr1:43423467-43424768,SZT2
chr1:207925171-207925964,NA
chr1:45956345-45956893,MAST2
chr1:204120398-204121109,SOX13
chr1:173837172-173837917,DARS2
chr1:6659125-6659505,DNAJC11
chr1:155043412-155043922,DCST1
chr1:226075150-226075680,NA
chr1:3184546-3184824,PRDM16
chr1:156215368-156215899,PMF1
chr1:228289669-228291184,OBSCN
chr1:3688553-3689684,TP73
chr1:156084486-156085097,LMNA
chr1:247241579-247242201,NA
chr1:16464376-16464621,NA
chr1:29460810-29461172,NA
chr1:151300522-151300724,PI4KB
chr1:228603706-228604567,NA
chr1:27692412-27693243,NA
chr1:146556312-146556676,HYDIN2
chr1:54723696-54724019,TTC4
chr1:19923341-19924002,PLA2G2E
chr1:178062712-178063846,NA
chr1:228645196-228646434,MIR7641-2
chr1:247614695-247614944,NA
chr1:886356-886602,NA
chr1:9099280-9100513,NA
chr1:2979275-2980758,NA
chr1:2387669-2388086,MORN1
chr1:27114118-27114692,SLC9A1
chr1:35350878-35351854,ZMYM4
chr1:33502201-33502719,NA
chr1:197890478-197890824,NA
chr1:36689759-36690087,NA
chr1:193028221-193029271,UCHL5
chr1:207818389-207818952,LOC148696
chr1:217310749-217311178,NA
chr1:117209824-117210621,VTCN1
chr1:205196791-205197252,DSTYK
chr1:113217475-113218097,NA
chr1:2339876-2340246,MORN1
chr1:8483389-8484339,RERE
chr1:149149250-149149505,NA
chr1:202976328-202977028,NA
chr1:3394701-3395191,PRDM16
chr1:46767425-46769036,NA
chr1:9883011-9884667,CTNNBIP1
chr1:201437519-201438648,NA
chr1:14075267-14076458,NA
chr1:44435409-44436114,RNF220
chr1:44568991-44569399,RNF220
chr1:47184402-47185083,PDZK1IP1
chr1:47069615-47070179,CYP4Z1
chr1:88928283-88928760,NA
chr1:226111642-226112552,NA
chr1:214153214-214153668,NA
chr1:22974050-22974303,NA
chr1:50798667-50799536,FAF1
chr1:8385895-8386168,RERE
chr1:205238112-205238546,TMCC2
chr1:44495629-44497112,RNF220
chr1:75601998-75602878,SLC44A5
chr1:154732822-154733436,KCNN3
chr1:10698299-10698910,CASZ1
chr1:869332-871872,FAM41C
chr1:155057187-155058056,ADAM15
chr1:1132827-1133218,NA
chr1:42127380-42128632,NA
chr1:25228496-25229132,SYF2
chr1:241587601-241587883,KMO
chr1:45205323-45205745,ZSWIM5
chr1:36038927-36040051,AGO3
chr1:155098434-155100451,NA
chr1:52607400-52608504,GPX7
chr1:29101790-29102069,EPB41
chr1:154543818-154544713,TDRD10
chr1:50884228-50891471,FAF1
chr1:166889776-166890649,NA
chr1:64239465-64240779,UBE2U
chr1:2433648-2434065,NA
chr1:182584177-182584545,RNASEL
chr1:249152411-249153419,NA
chr1:2126048-2126642,PRKCZ
chr1:44115616-44116309,NA
chr1:12226876-12227712,NA
chr1:244012712-244013245,LOC339529
chr1:154155268-154155926,TPM3
chr1:11159387-11160136,MTOR
chr1:85929940-85931168,COL24A1
chr1:213031359-213032119,NA
chr1:40235767-40237190,RLF
chr1:109102538-109103212,NA
chr1:6514108-6516325,PLEKHG5
chr1:100435297-100436070,CDC14A
chr1:184355415-184356811,NA
chr1:32169537-32169869,KPNA6
chr1:29587087-29587412,NA
chr1:112298041-112298992,NA
chr1:234367135-234367496,NA
chr1:167684279-167684492,RCSD1
chr1:220921411-220922176,NA
chr1:224301835-224302472,NVL
chr1:214724104-214725056,NA
chr1:61548753-61549564,NA
chr1:25234428-25234807,NA
chr1:202926879-202927476,KLHL12
chr1:70032967-70034495,LRRC7
chr1:100598130-100598754,NA
chr1:22902802-22903413,EPHB2
chr1:32479102-32480583,ZBTB8B
chr1:788863-789211,NA
chr1:212872460-212874048,FLVCR1
chr1:36641756-36642461,NA
chr1:244624501-244624920,C1orf101
chr1:110162464-110162716,SLC6A17
chr1:35657467-35658811,NA
chr1:147789652-147790094,NA
chr1:36184248-36184774,NA
chr1:28052145-28053002,EYA3
chr1:111991304-111992202,LOC643355
chr1:223536842-223538628,NA
chr1:54821990-54822333,LEXM
chr1:58715272-58716095,NA
chr1:23279553-23280569,NA
chr1:210465709-210466212,HHAT
chr1:1334071-1335602,TAS1R3
chr1:119529819-119530712,NA
chr1:156698111-156698916,NA
chr1:165204501-165205507,LMX1A
chr1:32966118-32966563,NA
chr1:150488036-150488416,TARS2
chr1:207669637-207670015,CR1L
chr1:67895135-67896826,GNG12-AS1
chr1:27332593-27332982,TMEM222
chr1:202779790-202780684,KDM5B
chr1:22927145-22927542,NA
chr1:149899625-149899893,BOLA1
chr1:185125850-185126705,TRMT1L
chr1:180198119-180204975,FLJ23867
chr1:42500855-42501980,NA
chr1:236558459-236559336,HEATR1
chr1:27874417-27874638,THEMIS2
chr1:233497707-233497917,NA
chr1:120835961-120839391,NA
chr1:86042229-86042935,COL24A1
chr1:8384387-8384719,RERE
chr1:14924610-14925993,KAZN
chr1:52831511-52832181,NA
chr1:15479219-15481471,CELA2B
chr1:226891032-226891381,PSEN2
chr1:226496361-226497501,NA
chr1:44056755-44057179,NA
chr1:47909712-47911020,TRABD2B
chr1:2517397-2518892,PANK4
chr1:111148983-111150186,CEPT1
chr1:115212239-115212985,NA
chr1:1177885-1178207,TTLL10
chr1:41303355-41304436,NA
chr1:240370859-240371526,FMN2
chr1:228593811-228594713,NA
chr1:244998023-244999142,EFCAB2
chr1:164545540-164545917,NA
chr1:6131635-6131985,CHD5
chr1:180471325-180472277,ACBD6
chr1:19536151-19537046,NA
chr1:26185472-26186356,CNKSR1
chr1:151031767-151032352,PRUNE
chr1:53742297-53742845,NA
chr1:21671360-21672319,NA
chr1:23857033-23858089,FUCA1
chr1:9711780-9713001,PIK3CD
chr1:37783611-37784258,NA
chr1:36022680-36023834,AGO3
chr1:152732958-152733338,NA
chr1:68696639-68697628,NA
chr1:155947678-155948490,ARHGEF2
chr1:207627531-207628280,CR1
chr1:6507207-6509186,PLEKHG5
chr1:100731632-100731999,VCAM1
chr1:33546524-33547243,CSMD2
chr1:234744276-234747024,NA
chr1:33219427-33220028,NA
chr1:3307069-3307285,PRDM16
chr1:228612580-228613103,RNA5S2
chr1:98386189-98386724,NA
chr1:201450880-201451105,NA
chr1:31769246-31769978,NA
chr1:193090728-193091224,TROVE2
chr1:179334794-179335338,SOAT1
chr1:6550083-6551115,NOL9
chr1:3104956-3105253,PRDM16
chr1:155242861-155243436,GBA
chr1:47489226-47489633,NA
chr1:113008844-113009154,NA
chr1:223316185-223316689,SUSD4
chr1:217307744-217309179,NA
chr1:47915639-47915952,TRABD2B
chr1:203097233-203097496,NA
chr1:29189307-29189952,NA
chr1:65532161-65533212,LEPR
chr1:209799149-209799354,IRF6
chr1:173990805-173991849,RC3H1
chr1:35246876-35247599,NA
chr1:2439797-2440022,NA
chr1:21058006-21059366,EIF4G3
chr1:28908069-28908799,EPB41
chr1:28857037-28857311,OPRD1
chr1:235667089-235668619,LYST
chr1:28286019-28286838,NA
chr1:155051155-155055291,LOC100505666
chr1:23694690-23696050,RPL11
chr1:228503556-228504762,NA
chr1:157164538-157165135,NA
chr1:226924560-226926553,NA
chr1:226736354-226737412,ITPKB
chr1:46913786-46914343,NA
chr1:45251962-45252292,NA
chr1:6241031-6241251,NA
chr1:27709600-27709831,NA
chr1:234735534-234736120,NA
chr1:41847264-41849204,HIVEP3
chr1:55462688-55463010,NA
chr1:28240584-28241535,NA
chr1:32670569-32671885,RBBP4
chr1:77333111-77334534,AK5
chr1:211380406-211380783,NA
chr1:2457241-2458259,NA
chr1:3566445-3569636,MEGF6
chr1:243637639-243638142,AKT3
chr1:160990718-160991225,NA
chr1:167189130-167191361,LINC01363
chr1:47133674-47134395,NA
chr1:6484503-6485327,PLEKHG5
chr1:110282351-110283306,NA
chr1:9790292-9790704,CLSTN1
chr1:954768-956343,NOC2L
chr1:38397236-38397721,NA
chr1:2082314-2082529,PRKCZ
chr1:9242167-9243827,H6PD
chr1:159824006-159825011,NA
chr1:181454974-181455261,NA
chr1:161582033-161582377,FCGR2C
chr1:205648975-205649903,NA
chr1:46940236-46940437,CYP4A11
chr1:1016863-1017439,NA
chr1:95006837-95008051,ALG14
chr1:1361560-1361787,MXRA8
chr1:171639947-171640224,MYOC
chr1:70687300-70687560,NA
chr1:2322481-2323764,MORN1
chr1:246729207-246730276,SCCPDH
chr1:163392877-163393100,NA
chr1:157963540-157963947,NA
chr1:27816342-27816853,STX12
chr1:92414718-92414986,NA
chr1:38156042-38156279,NA
chr1:242011151-242011744,NA
chr1:27675919-27678016,NA
chr1:9131602-9131909,NA
chr1:118727816-118728097,NA
chr1:228399471-228402037,TRIM11
chr1:24828865-24829878,CLIC4
chr1:236444603-236445700,EDARADD
chr1:2025205-2026225,GABRD
chr1:228565949-228567121,NA
chr1:155579732-155580328,NA
chr1:201617041-201619788,NA
chr1:92495367-92495964,NA
chr1:247802738-247803141,NA
chr1:67773329-67773767,GNG12
chr1:68962283-68963006,NA
chr1:177133392-177133846,ASTN1
chr1:40626913-40627612,RIMS3
chr1:16260870-16261155,FBXO42
chr1:50513644-50514320,FAF1
chr1:75590817-75591354,SLC44A5
chr1:101004471-101005885,DPH5
chr1:156593657-156595283,APOA1BP
chr1:894313-902654,NA
chr1:1990779-1991171,CFAP74
chr1:109203593-109204378,KIAA1324
chr1:41444870-41446116,NA
chr1:31246010-31246280,NA
chr1:1709394-1710582,CDK11A
chr1:3195376-3196052,PRDM16
chr1:17051491-17051891,SDHB
chr1:39980365-39981768,NA
chr1:156627342-156627576,NA
chr1:11072319-11073245,EXOSC10
chr1:28199031-28199257,NA
chr1:149224358-149224642,NA
chr1:61508642-61509282,NA
chr1:223899990-223900823,NA
chr1:234613936-234614972,NA
chr1:247463848-247464710,NA
chr1:149514271-149514592,NA
chr1:244094755-244095117,NA
chr1:8377784-8378447,RERE
chr1:1631086-1633226,MMP23A
chr1:84543146-84544261,SPATA1
chr1:92350913-92352085,RPAP2
chr1:113265573-113265787,NA
chr1:183386000-183387664,NMNAT2
chr1:43472867-43473334,NA
chr1:20669566-20670018,KIF17
chr1:234508994-234509501,NA
chr1:156710798-156711146,NA
chr1:16073318-16073521,FAM131C
chr1:231762414-231763115,DISC1
chr1:91359122-91359563,HFM1
chr1:78511577-78512161,PTGFR
chr1:63795363-63796140,ROR1
chr1:165599563-165600574,NA
chr1:26372281-26373313,ZNF683
chr1:39547013-39547959,PPIEL
chr1:53904140-53905247,DIO1
chr1:109583855-109585032,GNAI3
chr1:180881316-180882592,XPR1
chr1:229693772-229695074,NA
chr1:249141563-249142796,NA
chr1:36851089-36851873,GRIK3
chr1:197885060-197885389,NA
chr1:76080454-76080808,ST6GALNAC3
chr1:19991146-19992788,NA
chr1:45249860-45250352,NA
chr1:151584374-151585205,NA
chr1:27021833-27024101,NA
chr1:91316249-91317390,HFM1
chr1:239550108-239551339,NA
chr1:55352463-55353328,NA
chr1:2435041-2435257,NA
chr1:19180945-19181469,UBR4
chr1:182921819-182922644,SHCBP1L
chr1:28735-29810,WASH7P
chr1:55505060-55506015,NA
chr1:23003416-23003831,NA
chr1:182359697-182361563,NA
chr1:202678881-202679769,SYT2
chr1:12289954-12290585,VPS13D
chr1:228134422-228136282,NA
chr1:117909174-117910445,GDAP2
chr1:5950824-5951029,NPHP4
chr1:155034925-155036578,DCST1
chr1:2249315-2249634,SKI
chr1:208084098-208084513,PLXNA2
chr1:26662538-26663466,NA
chr1:146649622-146649852,HYDIN2
chr1:89149594-89150658,GBP7
chr1:99729982-99730335,FRRS1
chr1:32254004-32254353,LCK
chr1:2212020-2213881,FAAP20
chr1:1406844-1407821,MRPL20
chr1:155220082-155220549,GBAP1
chr1:36234924-36235800,THRAP3
chr1:93297498-93298122,NA
chr1:2158212-2161173,PRKCZ
chr1:23036823-23038362,KDM1A
chr1:226374035-226374760,PARP1
chr1:225997646-225998233,SDE2
chr1:161494024-161495356,NA
chr1:3662963-3664085,TP73
chr1:53308294-53309262,LRP8
chr1:161136001-161136686,NA
chr1:151253658-151255769,PSMD4
chr1:1602391-1602686,NA
chr1:1959414-1959867,CFAP74
chr1:74663826-74664035,ERICH3
chr1:109633188-109633632,NA
chr1:51425447-51426070,EPS15
chr1:52455970-52456453,ZCCHC11
chr1:94311844-94313086,NA
chr1:205312493-205313576,NUAK2
chr1:2333550-2334172,MORN1
chr1:47690980-47691727,NA
chr1:2038555-2038863,NA
chr1:110949892-110950540,LRIF1
chr1:43282574-43283090,C1orf210
chr1:2847056-2847288,NA
chr1:35258564-35258791,NA
chr1:168105316-168106158,GPR161
chr1:23809977-23810693,HMGCL
chr1:33896002-33896929,CSMD2
chr1:10003165-10003585,RBP7
chr1:3528333-3528683,MEGF6
chr1:228362442-228362691,OBSCN
chr1:75595813-75596162,SLC44A5
chr1:153508424-153508840,NA
chr1:114301514-114302272,NA
chr1:154540233-154540573,TDRD10
chr1:218337780-218339033,RRP15
chr1:21930179-21930380,HSPG2
chr1:153747655-153748698,INTS3
chr1:1691767-1692063,SLC35E2B
chr1:33235494-33235718,NA
chr1:120254844-120255499,NA
chr1:151118049-151119373,GABPB2
chr1:147775221-147775584,NA
chr1:149784592-149785212,HIST2H2BF
chr1:211652306-211652754,LOC105748977
chr1:36621451-36622310,NA
chr1:2063782-2064052,PRKCZ
chr1:161008377-161008830,F11R
chr1:933387-937410,SAMD11
chr1:20810462-20813511,EIF4G3
chr1:68512643-68513005,DEPDC1-AS1
chr1:92001023-92001444,BRDT
chr1:25756470-25758115,MAN1C1
chr1:167599464-167599839,NA
chr1:116184380-116185561,NA
chr1:65468272-65468828,LEPR
chr1:31380844-31381078,NA
chr1:23945941-23946295,NA
chr1:3790864-3791611,LRRC47
chr1:3342012-3342806,PRDM16
chr1:23750508-23751663,TCEB3
chr1:52521780-52522296,ZCCHC11
chr1:120190377-120191251,NA
chr1:65731411-65731849,NA
chr1:86174041-86174253,NA
chr1:119531991-119532196,NA
chr1:205424829-205426556,NA
chr1:118147958-118149670,SPAG17
chr1:208132327-208133117,PLXNA2
chr1:150206971-150207842,NA
chr1:26551517-26552194,RPS6KA1
chr1:227058045-227058906,CDC42BPA
chr1:111098066-111098362,NA
chr1:35450649-35451037,KIAA0319L
chr1:110610265-110613303,KCNA2
chr1:3775077-3775369,SMIM1
chr1:9599350-9600444,TMEM201
chr1:2527239-2527503,NA
chr1:2472095-2472586,PLCH2
chr1:156877769-156878649,NTRK1
chr1:149605514-149605903,NA
chr1:243053597-243054072,NA
chr1:153650830-153652375,NA
chr1:202995472-202996185,LOC100506747
chr1:172412867-172413281,NA
chr1:156616553-156616946,NA
chr1:113498366-113499312,MAGI3
chr1:91300979-91301891,HFM1
chr1:155904072-155904307,RIT1
chr1:62190647-62190942,NA
chr1:155829109-155829431,GON4L
chr1:3623318-3623521,NA
chr1:209920953-209921345,NA
chr1:6339948-6340268,ACOT7
chr1:110091039-110091590,LINC01397
chr1:48190756-48190992,NA
chr1:47009575-47010132,NA
chr1:145096393-145096784,FAM72D
chr1:6295528-6296261,ACOT7
chr1:94374369-94375467,NA
chr1:93249938-93251096,CCDC18
chr1:16532917-16534580,NA
chr1:39338479-39339349,MACF1
chr1:15573620-15573953,AGMAT
chr1:975496-980305,PERM1
chr1:171454517-171455239,NA
chr1:151042870-151043537,BNIPL
chr1:230415342-230415689,PGBD5
chr1:20878894-20880592,EIF4G3
chr1:214360607-214360965,PTPN14
chr1:202776003-202777727,KDM5B
chr1:176175711-176176811,RFWD2
chr1:46806339-46806836,CYP4B1
chr1:6239237-6240814,LINC00337
chr1:2374818-2375814,MORN1
chr1:246952214-246952511,ZNF695
chr1:245026434-245028020,EFCAB2
chr1:76540147-76540653,ST6GALNAC3
chr1:117452203-117453452,MAN1A2
chr1:118471840-118472720,NA
chr1:4771652-4772545,AJAP1
chr1:160370112-160370658,NHLH1
chr1:201475885-201476516,NA
chr1:162467599-162468027,NA
chr1:1272377-1272634,UBE2J2
chr1:11898393-11898732,NA
chr1:4192633-4193243,NA
chr1:59247461-59250940,NA
chr1:51984547-51985216,RAB3B
chr1:22213902-22214119,NA
chr1:112058184-112058590,NA
chr1:27718892-27719349,NA
chr1:1046044-1046340,AGRN
chr1:40204312-40204739,RLF
chr1:2411125-2411404,PEX10
chr1:28559145-28559597,TRNAU1AP
chr1:32221887-32222107,TMEM234
chr1:182758395-182759097,NA
chr1:161410142-161442503,NA
chr1:206135444-206138863,NA
chr1:29447699-29451847,NA
chr1:59042013-59043295,LINC01358
chr1:39174379-39174940,MACF1
chr1:40942784-40943387,NA
chr1:82265998-82269048,NA
chr1:1713639-1714141,CDK11A
chr1:40420487-40421366,SMAP2
chr1:2885062-2885284,NA
chr1:31280121-31280512,SNRNP40
chr1:178994804-178995917,NA
chr1:209404845-209405473,NA
chr1:196847158-196847418,NA
chr1:91966263-91966999,BRDT
chr1:145075483-145075845,SRGAP2B
chr1:32052471-32052771,KHDRBS1
chr1:228558945-228559246,NA
chr1:156828804-156831102,NTRK1
chr1:211555939-211556332,NA
chr1:203274305-203275338,NA
chr1:229643713-229644293,URB2
chr1:150980735-150981092,NA
chr1:17445651-17446088,NA
chr1:51443311-51444036,EPS15
chr1:165567265-165567530,LOC400794
chr1:36771830-36773009,NA
chr1:22140891-22141407,WNT4
chr1:1910268-1913800,NA
chr1:217262998-217263214,NA
chr1:200707849-200708948,NA
chr1:153930546-153931130,DENND4B
chr1:161284118-161284451,PCP4L1
chr1:85724701-85725524,NA
chr1:78224843-78225650,NA
chr1:200638546-200639384,NA
chr1:156783523-156784037,PRCC
chr1:155197116-155197534,THBS3
chr1:36915796-36916324,GRIK3
chr1:201196030-201196267,IGFN1
chr1:52869867-52870305,ZYG11A
chr1:180922915-180923692,KIAA1614
chr1:47899125-47899398,TRABD2B
chr1:1950411-1951479,CFAP74
chr1:59762102-59762794,FGGY
chr1:154298205-154298544,NA
chr1:25558563-25559178,LDLRAP1
chr1:9188503-9189743,LOC102724571
chr1:21503115-21503836,NA
chr1:9555379-9555652,SLC25A33
chr1:152084994-152085215,TCHHL1
chr1:114354373-114355300,NA
chr1:213123647-213125092,RPS6KC1
chr1:2343385-2344717,MORN1
chr1:6208716-6209039,RNF207
chr1:3607096-3607553,MEGF6
chr1:68516236-68516473,DEPDC1-AS1
chr1:55007704-55008448,BSND
chr1:8271996-8272202,NA
chr1:27894927-27895524,RPA2
chr1:41131111-41131378,SCMH1
chr1:28969553-28969898,EPB41
chr1:16070628-16070853,FAM131C
chr1:90228744-90229173,NA
chr1:226308959-226310476,LIN9
chr1:157015149-157016229,ARHGEF11
chr1:2235308-2235667,SKI
chr1:111746337-111747303,FAM212B-AS1
chr1:3327991-3329424,PRDM16
chr1:62784136-62785133,ATG4C
chr1:32740710-32741544,NA
chr1:167424088-167425216,POU2F1
chr1:41249090-41250161,NA
chr1:110036545-110036943,STRIP1
chr1:65991001-65991811,PDE4B
chr1:21948674-21949263,NA
chr1:155108007-155108611,NA
chr1:220219416-220219824,RAB3GAP2
chr1:245848539-245849103,SMYD3
chr1:6479057-6480938,PLEKHG5
chr1:148853996-148855761,PDE4DIP
chr1:2850665-2850873,NA
chr1:165086756-165087026,NA
chr1:36863211-36863603,GRIK3
chr1:1026377-1026625,AGRN
chr1:44457150-44457772,RNF220
chr1:169454558-169455577,CCDC181
chr1:43147500-43149016,FAM183A
chr1:41826680-41828290,HIVEP3
chr1:44444635-44445622,RNF220
chr1:235811841-235814066,LYST
chr1:53386617-53387523,NA
chr1:240160837-240161616,FMN2
chr1:226595333-226595939,C1orf95
chr1:25944099-25944772,NA
chr1:12123488-12124148,TNFRSF8
chr1:228633382-228634127,NA
chr1:2136808-2137351,PRKCZ
chr1:1173915-1174263,TTLL10
chr1:245740993-245741204,NA
chr1:85155605-85156574,NA
chr1:24742671-24743039,NA
chr1:156052072-156052803,UBQLN4
chr1:89989810-89990986,NA
chr1:24229115-24229537,NA
chr1:185285329-185286735,SWT1
chr1:25942661-25943191,NA
chr1:234349884-234350471,NA
chr1:3157509-3158300,PRDM16
chr1:235490338-235492160,B3GALNT2
chr1:95538251-95538551,NA
chr1:38259095-38260427,NA
chr1:6672786-6675741,DNAJC11
chr1:150946496-150947950,SETDB1
chr1:2316353-2316749,NA
chr1:119543056-119543454,NA
chr1:28099628-28100031,NA
chr1:1655395-1656231,CDK11B
chr1:226297287-226298586,LIN9
chr1:231175062-231176317,TRIM67
chr1:75600674-75601415,SLC44A5
chr1:109940074-109940894,NA
